rep,fee,social_share,capacity,completion,bottom_access,operating_revenue,social_transfer,price_pressure
0,0.0,0.0,spare,0.6769095213036405,0.48196901264274256,0.0,0.0,0.0
0,0.0,0.0,tight,0.58,0.48196901264274256,0.0,0.0,0.0
0,0.0,0.25,spare,0.6769095213036405,0.48196901264274256,0.0,0.0,0.0
0,0.0,0.25,tight,0.58,0.48196901264274256,0.0,0.0,0.0
0,0.0,0.5,spare,0.6769095213036405,0.48196901264274256,0.0,0.0,0.0
0,0.0,0.5,tight,0.58,0.48196901264274256,0.0,0.0,0.0
0,0.0,0.75,spare,0.6769095213036405,0.48196901264274256,0.0,0.0,0.0
0,0.0,0.75,tight,0.58,0.48196901264274256,0.0,0.0,0.0
0,0.0,1.0,spare,0.6769095213036405,0.48196901264274256,0.0,0.0,0.0
0,0.0,1.0,tight,0.58,0.48196901264274256,0.0,0.0,0.0
0,0.0025,0.0,spare,0.6382185049169747,0.49261264184622106,0.0016330710159013322,0.0,0.0
0,0.0025,0.0,tight,0.58,0.49261264184622106,0.0016330710159013322,0.0,0.0
0,0.0025,0.25,spare,0.6389485987964234,0.5013566767216086,0.0012248032619259991,0.00040826775397533304,0.0003821386177209118
0,0.0025,0.25,tight,0.58,0.4998678970273839,0.0012248032619259991,0.00040826775397533304,0.0008916567746821275
0,0.0025,0.5,spare,0.6396662802999218,0.5099455568976177,0.0008165355079506661,0.0008165355079506661,0.0007642772354418236
0,0.0025,0.5,tight,0.58,0.506984646001501,0.0008165355079506661,0.0008165355079506661,0.001783313549364255
0,0.0025,0.75,spare,0.6403717604511219,0.5183819201698981,0.00040826775397533304,0.0012248032619259991,0.0011464158531627356
0,0.0025,0.75,tight,0.58,0.513965243522066,0.00040826775397533304,0.0012248032619259991,0.002674970324046382
0,0.0025,1.0,spare,0.6410652466860483,0.5266683594887557,0.0,0.0016330710159013322,0.0015285544708836473
0,0.0025,1.0,tight,0.58,0.5208120043092475,0.0,0.0016330710159013322,0.00356662709872851
0,0.005,0.0,spare,0.6122163159401576,0.49137159456953133,0.0032352352174956573,0.0,0.0
0,0.005,0.0,tight,0.58,0.49137159456953133,0.0032352352174956573,0.0,0.0
0,0.005,0.25,spare,0.6136506227186556,0.5085433842598613,0.002426426413121743,0.0008088088043739143,0.0007570450408939841
0,0.005,0.25,tight,0.58,0.5056101814820652,0.002426426413121743,0.0008088088043739143,0.0017664384287526293
0,0.005,0.5,spare,0.6150370244129777,0.5251163603979943,0.0016176176087478286,0.0016176176087478286,0.0015140900817879682
0,0.005,0.5,tight,0.58,0.5193142090536658,0.0016176176087478286,0.0016176176087478286,0.0035328768575052585
0,0.005,0.75,spare,0.6163771210274775,0.5411105230383487,0.0008088088043739143,0.002426426413121743,0.0022711351226819524
0,0.005,0.75,tight,0.58,0.5325015312822422,0.0008088088043739143,0.002426426413121743,0.005299315286257888
0,0.005,1.0,spare,0.6176724591272136,0.5565452042441549,0.0,0.0032352352174956573,0.0030281801635759363
0,0.005,1.0,tight,0.58,0.5451894058516616,0.0,0.0032352352174956573,0.007065753715010517
0,0.01,0.0,spare,0.6119231985069846,0.4791926907914695,0.006467313684309773,0.0,0.0
0,0.01,0.0,tight,0.58,0.4791926907914695,0.006467313684309773,0.0,0.0
