fee,social_share,capacity,completion_mean,bottom_access_mean,operating_revenue_mean,price_pressure_mean
0.0,0.0,spare,0.6606998820774056,0.49051502399124336,0.0,0.0
0.0,0.0,tight,0.58,0.49051502399124336,0.0,0.0
0.0,0.25,spare,0.6606998820774056,0.49051502399124336,0.0,0.0
0.0,0.25,tight,0.58,0.49051502399124336,0.0,0.0
0.0,0.5,spare,0.6606998820774056,0.49051502399124336,0.0,0.0
0.0,0.5,tight,0.58,0.49051502399124336,0.0,0.0
0.0,0.75,spare,0.6606998820774056,0.49051502399124336,0.0,0.0
0.0,0.75,tight,0.58,0.49051502399124336,0.0,0.0
0.0,1.0,spare,0.6606998820774056,0.49051502399124336,0.0,0.0
0.0,1.0,tight,0.58,0.49051502399124336,0.0,0.0
0.0025,0.0,spare,0.6448752969144212,0.4900186531091258,0.0016371150881005535,0.0
0.0025,0.0,tight,0.58,0.4900186531091258,0.0016371150881005535,0.0
0.0025,0.25,spare,0.6456071805118713,0.49878411314663496,0.0012278363160754151,0.0003830849306155297
0.0025,0.25,tight,0.58,0.49729167118593604,0.0012278363160754151,0.0008938648381029024
0.0025,0.5,spare,0.646326585372782,0.507393588977404,0.0008185575440502768,0.0007661698612310594
0.0025,0.5,tight,0.58,0.5044254425565804,0.0008185575440502768,0.0017877296762058047
0.0025,0.75,spare,0.6470337243537861,0.5158497413093395,0.0004092787720251384,0.001149254791846589
0.0025,0.75,tight,0.58,0.5114223424282658,0.0004092787720251384,0.0026815945143087074
0.0025,1.0,spare,0.6477288066791418,0.5241551854456711,0.0,0.0015323397224621187
0.0025,1.0,tight,0.58,0.5182847054755598,0.0,0.0035754593524116095
0.005,0.0,spare,0.634040402394727,0.49057248577496876,0.003255304068660695,0.0
0.005,0.0,tight,0.58,0.49057248577496876,0.003255304068660695,0.0
0.005,0.25,spare,0.63548344587583,0.5078487881366911,0.002441478051495521,0.0007617411520666027
0.005,0.25,tight,0.58,0.5048976054982782,0.002441478051495521,0.0017773960214887397
0.005,0.5,spare,0.6368779806878206,0.5245187321345057,0.0016276520343303474,0.0015234823041332054
0.005,0.5,tight,0.58,0.5186814306463556,0.0016276520343303474,0.0035547920429774794
0.005,0.75,spare,0.638225638090388,0.5406027085145323,0.0008138260171651737,0.0022852234561998083
0.005,0.75,tight,0.58,0.5319421639866012,0.0008138260171651737,0.005332188064466219
0.005,1.0,spare,0.6395279944660888,0.5561204220587238,0.0,0.003046964608266411
0.005,1.0,tight,0.58,0.5446973959279421,0.0,0.007109584085954959
0.01,0.0,spare,0.6072282663017368,0.490719708423107,0.006450106083341332,0.0
0.01,0.0,tight,0.5791798611303163,0.490719708423107,0.006450106083341332,0.0
0.01,0.25,spare,0.6100403562686657,0.5243615081862169,0.004837579562505999,0.0015093248235018722
0.01,0.25,tight,0.5793822965597646,0.5185772703635705,0.004837579562505999,0.0035217579215043675
0.01,0.5,spare,0.6126682315132762,0.5557006239203459,0.003225053041670666,0.0030186496470037444
0.01,0.5,tight,0.5795499909942934,0.5443381319043378,0.003225053041670666,0.007043515843008735
0.01,0.75,spare,0.6151239642329513,0.5848879580927825,0.001612526520835333,0.004527974470505616
0.01,0.75,tight,0.5796648444772682,0.5672707784876427,0.001612526520835333,0.010565273764513104
0.01,1.0,spare,0.6174188351929181,0.6120645202688656,0.0,0.006037299294007489
0.01,1.0,tight,0.579741077253767,0.5787205385184483,0.0,0.01408703168601747
0.02,0.0,spare,0.5590746427313751,0.491379714319654,0.01265078789885158,0.0
0.02,0.0,tight,0.5583935993420238,0.491379714319654,0.01265078789885158,0.0
0.02,0.25,spare,0.564416292201944,0.5551900483334348,0.009488090924138685,0.0029602843683312705
0.02,0.25,tight,0.5625518486399652,0.5440783459910914,0.009488090924138685,0.006907330192772964
0.02,0.5,spare,0.5690933225327321,0.6106926430999564,0.00632539394942579,0.005920568736662541
0.02,0.5,tight,0.5659159066136005,0.5789825874475644,0.00632539394942579,0.013814660385545928
0.02,0.75,spare,0.5731884506859921,0.6589214606473736,0.003162696974712895,0.008880853104993812
0.02,0.75,tight,0.5687028601982638,0.58,0.003162696974712895,0.02072199057831889
0.02,1.0,spare,0.5767740959227871,0.7007817417389791,0.0,0.011841137473325082
0.02,1.0,tight,0.5708986842508342,0.58,0.0,0.027629320771091856
0.03,0.0,spare,0.5140231252696542,0.48829587900647253,0.018511502484121978,0.0
0.03,0.0,tight,0.5140231252696542,0.48829587900647253,0.018511502484121978,0.0
0.03,0.25,spare,0.5216088451606503,0.5787856860626402,0.013883626863091485,0.004331691581284544
0.03,0.25,tight,0.520794878197682,0.5626642351965984,0.013883626863091485,0.010107280356330602
0.03,0.5,spare,0.5278542326542633,0.652521338151518,0.009255751242060989,0.008663383162569089
0.03,0.5,tight,0.526370119790341,0.58,0.009255751242060989,0.020214560712661204
0.03,0.75,spare,0.532996179103036,0.7124639771798915,0.0046278756210304944,0.012995074743853634
0.03,0.75,tight,0.5309603223578743,0.58,0.0046278756210304944,0.030321841068991807
0.03,1.0,spare,0.5372296958812222,0.7610512453259336,0.0,0.017326766325138177
0.03,1.0,tight,0.5347395720600105,0.58,0.0,0.04042912142532241
